Date,Hour,Price,Battery Percentage,AIL Demand (MW),Min_SOC
11/20/2019 09,9,253.7,55.3,10135,68.2399049
05/31/2019 23,23,86.12,75.78,9248,99.94043479
04/02/2019 18,18,110.78,55.29,9651,99.77974211
02/07/2019 08,8,111.19,75.09,11129,99.63097956
05/28/2019 17,17,969.14,63.33,9696,37.7088076
02/18/2019 05,5,80.93,86.56,10042,99.49004945
02/03/2019 17,17,819.94,48.02,10990,98.1986325
09/02/2019 20,20,93.35,44.35,9635,99.32132829
03/21/2019 07,7,86.47,80.15,9612,99.3197647
02/11/2019 21,21,147.09,82.98,11305,56.0525096
12/10/2019 17,17,92.44,56.03,11108,99.27924522
11/12/2019 09,9,95.05,46.9,10115,99.20936485
02/04/2019 24,24,92.47,69.34,10396,99.15822645
11/12/2019 24,24,117.47,51.32,9383,99.0472449
06/02/2019 15,15,85.89,78.32,9542,98.98276609
10/28/2019 07,7,79.7,37.79,9726,98.93134386
06/11/2019 11,11,303.41,75.08,9645,22.3355725
02/20/2019 19,19,106.62,88.16,11210,98.92587837
05/09/2019 10,10,93.44,40.36,9674,98.85325029
08/08/2019 13,13,95.48,45.5,10600,98.83461345
02/03/2019 19,19,999.99,50.63,11219,32.8219032
10/23/2019 19,19,142.58,37.15,10099,6.1091809
05/26/2019 21,21,83.44,51.97,9143,98.60600374
02/05/2019 02,2,86.42,69.47,10213,98.53070655
02/27/2019 22,22,93.08,97.72,10638,98.48256328
02/07/2019 13,13,93.22,75.28,10998,98.37182379
11/10/2019 17,17,280.28,45.22,10262,69.3935541
08/13/2019 15,15,116.52,50.85,10091,98.26221701
07/12/2019 16,16,91.62,39.36,10400,98.22952561
05/23/2019 21,21,109.4,48.07,9072,98.20532992
07/31/2019 12,12,103.96,40.81,10390,97.9645123
02/05/2019 16,16,88.95,71.51,11022,6.2981183
05/26/2019 18,18,79.09,51.76,9257,98.07393024
07/31/2019 19,19,98.1,41.42,10455,98.04293691
11/09/2019 14,14,95.02,43.84,10090,98.03465297
11/19/2019 09,9,95.97,53.85,10326,98.03297837
04/28/2019 22,22,88.95,36.25,9319,97.86694195
06/12/2019 16,16,945.17,83.53,10227,47.1726247
05/13/2019 11,11,83.45,42.23,9617,97.77189813
02/10/2019 22,22,93.26,80.3,11031,97.75237296
07/12/2019 15,15,79.63,40.55,10390,97.73607224
06/11/2019 15,15,553.91,76.08,9888,96.2864745
08/08/2019 17,17,84.8,48.29,10689,97.51701061
06/02/2019 12,12,85.62,78.15,9455,97.50472486
08/13/2019 11,11,92.17,50.54,9873,97.4762833
02/05/2019 13,13,80.55,71.23,11073,97.42937224
02/10/2019 14,14,90.62,79.21,10964,97.36329017
08/13/2019 12,12,95.58,50.62,9997,85.7933312
09/12/2019 09,9,84.38,44.7,9345,97.201246
08/15/2019 11,11,83.04,49.8,9985,97.15041626
02/14/2019 10,10,113.38,85.95,11260,97.0769792
08/01/2019 23,23,78.42,43.16,9998,97.04022778
02/17/2019 14,14,80.21,85.88,10524,97.0329368
02/17/2019 21,21,93.64,86.29,10805,97.03165441
11/25/2019 17,17,77.9,59.32,10785,96.79205532
06/26/2019 18,18,83.05,78.15,10261,96.69410076
12/22/2019 16,16,130.3,43.76,10461,13.0035854
02/25/2019 12,12,94.05,90.68,11237,96.50062164
11/09/2019 13,13,95.15,43.79,10042,96.42099801
02/11/2019 07,7,140.26,80.87,10781,27.136841
11/19/2019 08,8,80.57,53.77,10180,96.08098883
07/15/2019 15,15,159.52,38.05,10408,26.0607306
12/08/2019 16,16,96.01,56.87,10430,96.04344353
02/01/2019 18,18,84.63,39.2,11401,95.96052549
02/11/2019 12,12,90.26,81.6,11274,95.93611765
02/07/2019 11,11,100.98,75.12,11173,95.9360604
11/20/2019 15,15,295.78,57.36,10080,87.7770167
04/29/2019 12,12,239.18,39.6,9557,88.0356176
02/13/2019 18,18,100.18,85.27,11186,95.81550353
09/09/2019 18,18,76.08,42.42,9993,95.75269754
11/28/2019 17,17,86.99,55.58,10949,95.71227531
09/16/2019 13,13,95.2,44.83,9673,19.1930929
03/20/2019 08,8,80.83,78.06,9893,95.68935556
03/01/2019 22,22,399.34,48.5,10761,78.2206758
11/29/2019 17,17,83.22,55.88,10989,95.64330014
07/23/2019 19,19,90.64,39.22,10489,95.60184036
02/01/2019 19,19,153.24,39.37,11367,45.2260567
02/05/2019 05,5,79.28,69.67,10252,95.58450815
02/14/2019 15,15,81.41,86.17,11008,95.52838666
02/25/2019 13,13,86.67,90.76,11126,95.49622819
09/09/2019 10,10,77.53,41.71,9842,95.48851311
02/25/2019 14,14,85.74,90.83,11072,95.48082617
05/29/2019 22,22,92.68,70.78,9642,89.3022651
05/24/2019 09,9,87.07,48.78,9360,95.39493703
02/08/2019 19,19,80.68,76.93,11442,95.32073353
02/14/2019 11,11,87.97,86.01,11271,95.30597907
10/29/2019 09,9,349.04,40.36,10260,32.2811793
10/31/2019 18,18,86.98,42.05,10060,95.21862018
02/26/2019 10,10,101.16,94.76,11166,95.03713073
09/13/2019 11,11,76.85,45.38,9684,94.9275736
04/02/2019 15,15,79.9,55.2,9660,94.88773445
02/25/2019 10,10,91.87,90.53,11293,94.85308521
06/01/2019 18,18,541.8,77.98,9616,79.4194511
05/02/2019 15,15,86.45,40.5,9632,94.76186864
02/27/2019 21,21,340.57,97.66,10808,67.9527964
02/04/2019 13,13,426.86,64.46,10856,16.3650386
02/10/2019 21,21,95.67,80.21,11211,94.65460543
01/28/2019 21,21,79,37.73,10886,94.61011601
03/08/2019 21,21,88.32,88.51,10656,20.6670276
09/19/2019 17,17,77,53.53,9560,94.39891051
02/01/2019 09,9,94.19,38.26,10969,31.5107616
02/07/2019 09,9,97.23,74.99,11191,86.0211484
12/10/2019 16,16,77.24,56.29,10799,94.37930071
02/25/2019 09,9,90.89,90.44,11327,94.32530536
02/21/2019 09,9,90.16,88.79,10898,94.32460189
08/13/2019 16,16,119.14,50.97,10144,67.1322796
10/29/2019 08,8,411.27,39.92,10106,65.5453182
02/13/2019 17,17,95.74,85.2,11019,94.12528531
02/18/2019 07,7,106.77,86.79,10280,26.2602308
02/15/2019 18,18,90.99,86.66,11264,94.10301687
05/13/2019 12,12,88.49,42.3,9615,94.06166715
04/29/2019 16,16,181.11,40.06,9643,49.2369371
02/02/2019 21,21,74.14,40.29,11133,93.83162791
02/06/2019 21,21,327.22,75,11137,23.3852647
09/11/2019 07,7,82.51,42.84,8979,93.78148959
06/01/2019 13,13,99.61,75.9,9505,93.69335646
06/13/2019 14,14,298.91,86.81,10438,95.8454404
09/05/2019 12,12,74.63,44.48,9947,93.66465009
03/01/2019 23,23,95.11,24.45,10630,93.65387245
09/15/2019 21,21,95.63,44.4,9484,93.56874327
03/05/2019 09,9,81.69,22.61,10859,93.54382122
02/27/2019 03,3,73.87,95.66,9950,93.51339457
07/14/2019 13,13,76.86,36.4,10007,93.49258641
07/29/2019 15,15,78.77,39.95,10524,93.38380679
07/13/2019 12,12,215.09,37,9892,37.004999
12/10/2019 18,18,244.37,55.61,11174,93.7545069
10/08/2019 20,20,89.79,52.21,9900,93.15475406
02/05/2019 14,14,123.17,71.36,11021,1.1386086
10/28/2019 19,19,115.75,38.17,10562,92.4699572
05/28/2019 14,14,804.69,59.64,9469,57.8823289
05/31/2019 19,19,292.39,75.04,9394,80.0384766
02/25/2019 15,15,74.46,90.89,10958,92.9586226
03/03/2019 18,18,105.42,74.15,10706,92.87896486
02/28/2019 22,22,97.33,50.38,10731,92.81628795
11/29/2019 13,13,91.23,55.69,10842,92.8084169
09/16/2019 14,14,599.95,45.62,9603,62.4811086
11/06/2019 18,18,72.83,43.72,10694,92.47097356
04/29/2019 08,8,548.61,38.05,9307,37.8704411
02/10/2019 12,12,104.81,79.05,10971,67.2049472
02/09/2019 20,20,88.32,78.06,11277,92.39616521
09/13/2019 10,10,82.41,45.37,9600,92.39345109
11/13/2019 12,12,80.67,51.54,10228,92.35043392
